type,bandwidth,time
warmup,56.3293,9063376191261601
warmup,164.286,9063376236075583
warmup,154.419,9063376251477231
warmup,159.02,9063376267897386
warmup,164.587,9063376283814367
warmup,149.032,9063376299193742
warmup,163.26,9063376316346674
warmup,163.071,9063376332035301
warmup,141.822,9063376347740439
warmup,153.425,9063376365573379
warmup,159.287,9063376382145215
warmup,161.392,9063376398036308
warmup,161.118,9063376413888681
warmup,161.382,9063376429757598
warmup,164.012,9063376445601362
warmup,163.689,9063376461208260
warmup,163.508,9063376476840918
warmup,162.013,9063376492479048
warmup,162.23,9063376508257052
warmup,164.523,9063376523987791
warmup,162.015,9063376539524704
warmup,162.55,9063376555300948
warmup,163.337,9063376571021543
warmup,162.725,9063376586662201
warmup,162.403,9063376602351596
warmup,160.271,9063376618068767
warmup,160.951,9063376633991764
warmup,163.575,9063376649848105
warmup,163.707,9063376665457851
warmup,162.179,9063376681054221
warmup,164.581,9063376696812416
warmup,164.42,9063376712348049
14:32:23:409:846    &   120.157
14:32:23:431:742    &   115.378
14:32:23:453:898    &   114.033
14:32:23:474:927    &   120.189
14:32:23:496:309    &   118.189
14:32:23:517:511    &   119.189
14:32:23:539:223    &   116.4
14:32:23:560:410    &   119.196
14:32:23:582:335    &   115.216
14:32:23:602:872    &   123.024
14:32:23:622:843    &   126.498
14:32:23:644:901    &   114.574
14:32:23:666:449    &   117.249
14:32:23:688:034    &   117.05
14:32:23:708:329    &   124.564
14:32:23:729:123    &   121.508
14:32:23:750:351    &   118.975
14:32:23:771:938    &   117.113
14:32:23:794:849    &   110.2
14:32:23:815:873    &   120.106
14:32:23:837:198    &   118.495
14:32:23:858:592    &   118.141
14:32:23:880:593    &   114.859
14:32:23:901:119    &   123.155
14:32:23:922:772    &   116.718
14:32:23:944:202    &   118.449
14:32:23:966:185    &   114.959
14:32:23:988:155    &   115.031
14:32:24:009:499    &   118.418
14:32:24:031:482    &   114.957
14:32:24:052:122    &   123.027
14:32:24:085:442    &   75.765
14:32:24:154:205    &   36.6751
14:32:24:218:644    &   39.1278
14:32:24:288:183    &   36.2619
14:32:24:334:227    &   54.7921
14:32:24:356:936    &   111.403
14:32:24:377:539    &   122.69
14:32:24:398:925    &   118.248
14:32:24:420:239    &   118.488
14:32:24:441:158    &   120.828
14:32:24:462:531    &   118.212
14:32:24:484:304    &   116.006
14:32:24:502:628    &   137.981
14:32:24:520:496    &   141.466
14:32:24:541:778    &   118.66
14:32:24:561:997    &   124.909
14:32:24:582:839    &   121.153
14:32:24:604:153    &   118.474
14:32:24:628:383    &   104.155
14:32:24:651:376    &   109.885
14:32:24:669:242    &   141.404
14:32:24:688:580    &   130.763
14:32:24:711:118    &   112.052
14:32:24:733:717    &   111.767
14:32:24:755:860    &   114.113
14:32:24:776:486    &   123.103
14:32:24:797:986    &   117.554
14:32:24:818:029    &   126.144
14:32:24:847:414    &   117.005
14:32:24:869:551    &   114.135
14:32:24:891:251    &   116.388
14:32:24:912:759    &   117.466
14:32:24:934:529    &   116.042
14:32:24:956:425    &   115.384
14:32:24:976:795    &   124.047
14:32:24:994:216    &   145.204
14:32:25:015:310    &   119.81
14:32:25:036:922    &   116.809
14:32:25:057:688    &   121.569
14:32:25:078:894    &   119.204
14:32:25:100:608    &   116.336
14:32:25:121:161    &   122.946
14:32:25:142:298    &   119.526
14:32:25:164:079    &   116.505
14:32:25:185:038    &   121.05
14:32:25:206:348    &   119.106
14:32:25:228:107    &   116.61
14:32:25:249:062    &   121.078
14:32:25:270:238    &   119.33
14:32:25:291:973    &   116.268
14:32:25:313:208    &   118.99
14:32:25:334:471    &   118.812
14:32:25:355:958    &   117.587
14:32:25:377:201    &   118.94
14:32:25:398:753    &   117.268
14:32:25:420:502    &   116.167
14:32:25:442:749    &   113.567
14:32:25:510:477    &   37.2067
14:32:25:575:404    &   38.8376
14:32:25:621:092    &   55.236
14:32:25:659:594    &   65.513
14:32:25:712:256    &   47.8791
14:32:25:742:895    &   82.3429
14:32:25:769:237    &   95.8219
14:32:25:789:999    &   121.765
14:32:25:810:662    &   122.318
14:32:25:831:519    &   121.205
14:32:25:852:489    &   120.54
14:32:25:873:159    &   122.31
14:32:25:894:471    &   118.594
14:32:25:915:402    &   120.739
14:32:25:936:244    &   121.258
14:32:25:956:763    &   123.166
14:32:25:977:934    &   119.343
14:32:25:996:928    &   133.088
14:32:26:017:247    &   124.301
14:32:26:038:948    &   117.722
14:32:26:058:734    &   127.725
14:32:26:074:609    &   159.395
14:32:26:094:229    &   128.85
14:32:26:114:311    &   125.871
14:32:26:135:535    &   119.058
14:32:26:155:805    &   124.662
14:32:26:176:875    &   119.935
14:32:26:197:541    &   122.273
14:32:26:218:024    &   123.361
14:32:26:238:789    &   121.691
14:32:26:259:793    &   120.317
14:32:26:280:105    &   124.473
14:32:26:300:767    &   122.319
14:32:26:322:006    &   118.957
14:32:26:342:289    &   124.641
14:32:26:362:990    &   122.117
14:32:26:382:460    &   129.851
14:32:26:403:209    &   121.833
14:32:26:423:554    &   124.175
14:32:26:444:458    &   121.044
14:32:26:465:319    &   121.106
14:32:26:485:957    &   122.435
14:32:26:506:553    &   122.709
14:32:26:526:181    &   128.746
14:32:26:542:637    &   153.784
14:32:26:563:464    &   121.791
14:32:26:584:344    &   120.995
14:32:26:605:976    &   116.811
14:32:26:626:893    &   120.828
14:32:26:647:726    &   121.3
14:32:26:668:803    &   119.906
14:32:26:689:843    &   120.108
14:32:26:710:424    &   122.86
14:32:26:731:970    &   117.298
14:32:26:753:251    &   118.778
14:32:26:774:734    &   117.565
14:32:26:796:940    &   113.849
14:32:26:821:529    &   102.7
14:32:26:843:456    &   115.294
14:32:26:865:387    &   115.924
14:32:26:887:237    &   115.757
14:32:26:908:549    &   118.512
14:32:26:929:867    &   118.455
14:32:26:951:035    &   119.369
14:32:26:971:537    &   123.269
14:32:26:993:161    &   116.797
14:32:27:014:673    &   117.513
14:32:27:034:858    &   125.125
14:32:27:055:718    &   121.157
14:32:27:077:080    &   118.256
14:32:27:097:433    &   124.159
14:32:27:117:542    &   125.638
14:32:27:138:891    &   118.39
